"","HH","TH","Truth"
"665",0.191666666666667,0.216834618018,0.18
"666",0.163636363636364,0.183082640158336,0.135
"667",0,0,0.145
"668",0.526984126984127,0.572487515906628,0.125
"669",0,0,0.14
"670",0.675,0.722188460895203,0.1775
"671",0,0,0.1325
"672",0.142857142857143,0.152860618231202,0.16
"673",0,0,0.16
"674",0,0,0.16
"675",0.280555555555556,0.305469824701943,0.13
"676",0.215789473684211,0.263621886685377,0.1575
"677",0.242857142857143,0.259863050993044,0.11
"678",0.25,0.270516722128349,0.135
"679",0.1,0.099999999999999,0.1425
"680",0.333333333333333,0.346887330901274,0.125
"681",0,0,0.175
"682",0.1,0.099999999999999,0.1375
"683",0.1,0.099999999999999,0.1825
"684",0.225,0.254544986368956,0.1575
"685",0.494405594405594,0.558941541760029,0.2175
"686",0,0,0.135
"687",0.18,0.199165250457117,0.1425
"688",0.192307692307692,0.21997922162448,0.1775
"689",0,0,0.1475
"690",0,0,0.13
"691",0,0,0.17
"692",0.166666666666667,0.188551841754782,0.1575
"693",0.190909090909091,0.213596413518059,0.135
"694",0.29,0.358151972711109,0.1475
"695",0.283636363636364,0.315859473796414,0.1675
"696",0.574242424242424,0.631346987673694,0.1675
"697",0,0,0.1575
"698",0.163636363636364,0.183082640158336,0.145
"699",0.285714285714286,0.305721236462405,0.19
"700",0,0,0.175
"701",0,0,0.11
"702",0,0,0.1525
"703",0.16875,0.199510808367956,0.15
"704",0.136363636363636,0.152568866798613,0.1325
"705",0,0,0.16
"706",0.166666666666667,0.194896556684836,0.135
"707",0.1,0.099999999999999,0.1575
"708",0,0,0.1525
"709",0.178571428571429,0.2065323760161,0.1725
"710",0.317647058823529,0.379684260944303,0.1575
"711",0.16,0.167401482888402,0.15
"712",0,0,0.18
"713",0,0,0.1225
"714",0.171428571428571,0.198271080975456,0.1375
"715",0.184210526315789,0.225043073999712,0.14
"716",0,0,0.175
"717",0,0,0.17
"718",0.353846153846154,0.387601089500677,0.145
"719",0.196666666666667,0.270319194494721,0.15
"720",0.1,0.099999999999999,0.135
"721",0,0,0.1775
"722",0,0,0.1275
"723",0,0,0.1225
"724",0.178571428571429,0.2065323760161,0.17
"725",0.326190476190476,0.371677959187776,0.18
"726",0.2,0.226262210105739,0.1625
"727",0.130434782608696,0.166395535113133,0.13
"728",0,0,0.15
"729",0.215,0.265526462527202,0.15
"730",0.136363636363636,0.152568866798613,0.18
"731",0,0,0.165
"732",0,0,0.1625
"733",0,0,0.1375
"734",0,0,0.17
"735",0.22962962962963,0.30575122484209,0.165
"736",0,0,0.1675
"737",0,0,0.15
"738",0.166666666666667,0.188551841754782,0.165
"739",0.21,0.259351428514941,0.19
"740",0.2,0.22877839048946,0.1725
"741",0,0,0.145
"742",0,0,0.16
"743",0.2,0.214004865523683,0.1525
"744",0,0,0.115
"745",0,0,0.17
"746",0,0,0.1675
"747",0,0,0.1525
"748",0.2,0.22129472273013,0.1325
"749",0,0,0.155
"750",0,0,0.135
"751",0.238888888888889,0.288679931844153,0.155
"752",0,0,0.125
"753",0,0,0.14
"754",0,0,0.14
"755",0.45,0.486930099831029,0.1425
"756",0.161538461538462,0.184782546164563,0.1725
"757",0,0,0.1625
"758",0,0,0.145
"759",0.173333333333333,0.238247425656364,0.145
"760",0.425,0.475839709099086,0.1675
"761",0.169230769230769,0.193581715029543,0.1175
"762",0.28,0.300305934867762,0.15
"763",0,0,0.15
"764",0.244444444444444,0.267475157145065,0.1875
"765",0,0,0.1225
"766",0.1,0.099999999999999,0.17
"767",0.1,0.099999999999999,0.11
"768",0,0,0.1375
"769",0,0,0.16
"770",0.15,0.15871328415082,0.15
"771",0.166666666666667,0.182369425326181,0.1375
"772",0,0,0.165
"773",0.28,0.309812611822181,0.21
"774",0,0,0.12
"775",0,0,0.1675
"776",0,0,0.1675
"777",0.29,0.335791976876545,0.1475
"778",0.2,0.226262210105739,0.19
"779",0.308461538461538,0.346485553890236,0.13
"780",0.21,0.232359458866636,0.1275
"781",0.1,0.101140684410646,0.1625
"782",0.1875,0.263198937707408,0.15
"783",0,0,0.1425
"784",0,0,0.1525
"785",0,0,0.12
"786",0,0,0.14
"787",0.1625,0.192121519169142,0.1575
"788",0,0,0.1225
"789",0,0,0.13
"790",0.2625,0.276976553794073,0.15
